Name,Height,Major,SAT
Leanne,163.8,Nursing,1263
Yixuan,170.34,Law,1191
Rowan,163.38,Nursing,1326
Ichika,173.5,Arts,1390
Dakota,180.18,Architecture,1251
Jade,177.32,Arts,1295
Magnus,170.47,Science,1347
Aiden,172.63,Science,1234
Sunita,159.82,Social Work,1127
Mateo,171.9,Nursing,1337
Haven,174.84,Science,1530
Johanna,179.64,Arts,1406
Sohel,166.68,Science,1449
Kendall,187.66,Law,1469
Nusrat,151.22,Social Work,1184
Fatemeh,165.17,Science,1041
Emre,163.23,Science,1239
Jennifer,167.41,Arts,1484
Min,162.2,Agriculture,1202
Alex,157.06,Law,1376
Pedro,183.11,Arts,1347
Aria,171.56,Science,1405
Noah,176.45,Arts,1301
Jackson,172.23,Agriculture,1387
Chloe,166.31,Science,1282
Haoyu,179.11,Arts,1101
Seojun,165.27,Science,1558
Musa,148.21,Nursing,1070
Aisha,165.39,Science,1255
Artem,193.17,Social Work,1240
